name;lat;lng
Istanbul;41.013611;28.955
Moscow;55.75;37.616667
London;51.507222;0.1275
Saint Petersburg;59.95;30.3
Berlin;52.516667;13.383333
Madrid;40.383333;3.716667
Kyiv;50.45;30.523333
Rome;41.9;12.5
Paris;48.8567;2.3508
Bucharest;44.4325;26.103889
Minsk;53.9;27.566667
Vienna;48.2;16.366667
Budapest;47.4925;19.051389
Hamburg;53.565278;10.001389
Warsaw;52.233333;21.016667
Barcelona;41.383333;2.183333
Munich;48.133333;11.566667
Kharkiv;50.004444;36.231389
Milan;45.466667;9.183333
Belgrade;44.816667;20.466667
Sofia;42.7;23.33
Prague;50.083333;14.416667
Nizhny Novgorod;56.326944;44.0075
Birmingham;52.483056;1.893611
Kazan;55.790278;49.134722
Brussels;50.8467;4.3525
Samara;53.202778;50.140833
Ufa;54.75;55.966667
Rostov-on-Don;47.233333;39.7
Perm;58;56.316667
Cologne;50.936389;6.952778
Voronezh;51.671667;39.210556
